date,Tmax,Tmin,Tmean,RH_mean,RH_max,wind_mean,wind_max,solar_mean,solar_max,heat_index,HI_max
2018-01-01,27.1,14.0,20.81578947368421,47.578947368421055,66,8.989473684210527,12.1,228.14736842105265,684.7,27.36183792316575,28.94307188711107
2018-01-02,27.1,15.0,19.795833333333334,47.375,61,12.970833333333333,18.6,181.1916666666667,686.0,27.3494950495882,28.48240690299552
2018-01-03,27.0,14.2,19.508333333333333,43.75,57,12.279166666666667,17.1,182.125,688.2,27.05795068080553,29.9074829880711
2018-01-04,27.2,13.6,19.258333333333333,51.583333333333336,64,7.441666666666666,11.4,181.29999999999998,685.3,27.715740600668553,30.484956058737744
2018-01-05,26.1,11.5,18.425,55.916666666666664,81,7.279166666666666,9.8,185.15833333333333,697.8,26.871367925838634,29.419011171277816
2018-01-06,25.7,13.0,18.608333333333334,58.208333333333336,92,7.0874999999999995,11.8,183.57500000000002,692.9,26.575205260630906,26.510238036824482
2018-01-07,25.9,12.9,18.995833333333334,44.666666666666664,60,9.520833333333334,11.9,185.35000000000002,699.2,26.30587733129065,31.67155846943784
2018-01-08,27.1,12.8,19.224999999999998,47.5,63,11.033333333333333,15.9,184.3083333333333,694.3,27.357054071340595,32.011698269315524
2018-01-09,28.0,15.9,21.05,46.125,57,12.262500000000001,17.7,181.3375,685.2,28.119349085288167,27.63876735183117
2018-01-10,28.7,16.4,21.6875,46.041666666666664,60,12.5375,17.5,181.05416666666667,683.3,28.859711606918285,27.629129281651117
2018-01-11,28.8,15.6,21.941666666666666,46.875,64,10.429166666666667,15.7,171.8083333333333,682.5,29.059690760344868,27.656177130791125
2018-01-12,29.9,18.5,23.65416666666667,46.458333333333336,60,9.395833333333334,13.7,161.48333333333332,646.7,30.38471654520693,28.73268675051561
2018-01-13,28.9,19.8,23.983333333333334,49.166666666666664,59,10.6,15.6,121.95833333333333,451.1,29.433404852069025,28.25872694427555
2018-01-14,30.9,19.5,24.5125,55.791666666666664,70,7.6499999999999995,11.5,177.725,675.8,33.65351132737322,31.07249054955561
2018-01-15,31.1,18.6,23.808333333333334,53.75,73,9.145833333333334,13.0,185.69583333333333,695.4,33.57423184810244,30.373094376737843
2018-01-16,30.5,16.4,22.912499999999998,52.625,75,6.866666666666667,11.4,187.47083333333333,701.7,32.29018862149379,29.31401876955556
2018-01-17,28.7,17.4,22.2625,54.958333333333336,74,7.766666666666667,10.5,186.77916666666667,690.6,29.865394048098892,27.781509353475567
2018-01-18,28.8,14.9,21.1125,55.375,81,7.970833333333334,11.6,190.6916666666667,710.2,30.062786614939323,27.765672245795567
2018-01-19,28.3,13.2,20.358333333333334,52.125,89,7.604166666666667,9.8,197.3791666666667,732.9,29.008434804853135,27.068432814157852
2018-01-20,29.1,13.7,20.75,49.208333333333336,66,8.4375,12.3,194.95416666666665,723.8,29.69290866532434,29.93825400660442
2018-01-21,29.9,15.2,21.958333333333332,48.833333333333336,64,7.541666666666667,13.0,194.55416666666667,721.8,30.7259549336601,28.6597882547711
2018-01-22,28.8,15.5,21.683333333333334,46.708333333333336,65,8.295833333333333,12.4,194.45000000000002,719.9,29.04218507638184,27.95237541043558
2018-01-23,26.7,15.5,20.216666666666665,55.708333333333336,89,9.9,14.9,200.17916666666667,739.5,27.45818660140919,26.199495016231197
2018-01-24,26.8,12.2,19.566666666666666,49.833333333333336,77,7.229166666666667,9.9,203.8791666666667,748.8,27.222801938989953,29.477233480115558
2018-01-25,26.7,12.4,18.533333333333335,47.791666666666664,67,7.020833333333333,10.5,206.14166666666665,758.2,27.026886669184588,31.93012809047112
2018-01-26,27.2,11.7,18.962500000000002,46.666666666666664,69,7.7875000000000005,10.7,207.89999999999998,763.4,27.3955325770943,32.5525521194578
2018-01-27,28.2,12.4,19.641666666666666,45.791666666666664,65,6.716666666666668,11.3,207.5583333333333,761.4,28.296447921244706,32.23940900508444
2018-01-28,28.4,12.1,19.6875,48.416666666666664,77,6.658333333333334,9.9,209.13750000000002,765.5,28.754174365110178,30.08116649335779
2018-01-29,29.2,12.2,19.9875,48.958333333333336,73,6.4750000000000005,9.4,210.77916666666667,770.7,29.79161789229186,30.62432095923558
2018-01-30,30.5,13.1,20.975,52.416666666666664,74,6.883333333333333,8.9,208.8083333333333,762.5,32.25094400819473,29.128770229617732
2018-01-31,31.6,15.1,22.52916666666667,50.875,74,7.279166666666666,10.2,208.6916666666667,762.5,33.84018156196937,30.471727980675634
