date,Tmax,Tmin,Tmean,RH_mean,RH_max,wind_mean,wind_max,solar_mean,solar_max
2018-01-01,27.1,14.0,20.81578947368421,47.578947368421055,66,8.989473684210527,12.1,228.14736842105265,684.7
2018-01-02,27.1,15.0,19.795833333333334,47.375,61,12.970833333333333,18.6,181.1916666666667,686.0
2018-01-03,27.0,14.2,19.508333333333333,43.75,57,12.279166666666667,17.1,182.125,688.2
2018-01-04,27.2,13.6,19.258333333333333,51.583333333333336,64,7.441666666666666,11.4,181.29999999999998,685.3
2018-01-05,26.1,11.5,18.425,55.916666666666664,81,7.279166666666666,9.8,185.15833333333333,697.8
2018-01-06,25.7,13.0,18.608333333333334,58.208333333333336,92,7.0874999999999995,11.8,183.57500000000002,692.9
2018-01-07,25.9,12.9,18.995833333333334,44.666666666666664,60,9.520833333333334,11.9,185.35000000000002,699.2
2018-01-08,27.1,12.8,19.224999999999998,47.5,63,11.033333333333333,15.9,184.3083333333333,694.3
2018-01-09,28.0,15.9,21.05,46.125,57,12.262500000000001,17.7,181.3375,685.2
2018-01-10,28.7,16.4,21.6875,46.041666666666664,60,12.5375,17.5,181.05416666666667,683.3
2018-01-11,28.8,15.6,21.941666666666666,46.875,64,10.429166666666667,15.7,171.8083333333333,682.5
2018-01-12,29.9,18.5,23.65416666666667,46.458333333333336,60,9.395833333333334,13.7,161.48333333333332,646.7
2018-01-13,28.9,19.8,23.983333333333334,49.166666666666664,59,10.6,15.6,121.95833333333333,451.1
2018-01-14,30.9,19.5,24.5125,55.791666666666664,70,7.6499999999999995,11.5,177.725,675.8
2018-01-15,31.1,18.6,23.808333333333334,53.75,73,9.145833333333334,13.0,185.69583333333333,695.4
2018-01-16,30.5,16.4,22.912499999999998,52.625,75,6.866666666666667,11.4,187.47083333333333,701.7
2018-01-17,28.7,17.4,22.2625,54.958333333333336,74,7.766666666666667,10.5,186.77916666666667,690.6
2018-01-18,28.8,14.9,21.1125,55.375,81,7.970833333333334,11.6,190.6916666666667,710.2
2018-01-19,28.3,13.2,20.358333333333334,52.125,89,7.604166666666667,9.8,197.3791666666667,732.9
2018-01-20,29.1,13.7,20.75,49.208333333333336,66,8.4375,12.3,194.95416666666665,723.8
2018-01-21,29.9,15.2,21.958333333333332,48.833333333333336,64,7.541666666666667,13.0,194.55416666666667,721.8
2018-01-22,28.8,15.5,21.683333333333334,46.708333333333336,65,8.295833333333333,12.4,194.45000000000002,719.9
2018-01-23,26.7,15.5,20.216666666666665,55.708333333333336,89,9.9,14.9,200.17916666666667,739.5
2018-01-24,26.8,12.2,19.566666666666666,49.833333333333336,77,7.229166666666667,9.9,203.8791666666667,748.8
