date,Tmax,Tmean,RH_mean,HI_max,WBGT_max,heat_severity,temperature_score,heat_index_score,wbgt_score,heat_risk_score,risk_category,heat_streak,mortality_RR
2018-03-28,38.8,29.391666666666666,28.83333333333333,36.275707823777765,28.8612717962057,31.827046207234524,50,25,50,42.5,MODERATE,0,1.229
2018-03-29,39.9,30.616666666666664,31.83333333333333,37.76837511571561,29.856495961422336,33.021247623139644,50,25,50,42.5,MODERATE,0,1.255
2018-03-30,40.1,31.354166666666668,26.0,37.08911753481558,28.42217462788695,31.888951790658403,75,25,50,50.0,HIGH,0,1.259
2018-03-31,39.7,30.433333333333334,24.70833333333333,36.40877458303783,26.562015719085885,30.50071926466666,50,25,25,32.5,MODERATE,0,1.25
2018-04-01,37.9,30.0875,29.5,36.12601675418447,28.79012917233059,31.72448420507214,50,25,50,42.5,MODERATE,0,1.208
2018-04-02,39.0,30.566666666666663,31.70833333333333,37.04763263155558,29.334796285193065,32.41993082373807,50,25,50,42.5,MODERATE,0,1.233
2018-04-03,38.7,31.3625,26.875,36.32340717402448,27.70374452452024,31.15160958432193,50,25,25,32.5,MODERATE,0,1.226
2018-04-04,39.0,31.27083333333333,28.041666666666668,37.04763263155558,28.57383935065081,31.96335666301272,50,25,50,42.5,MODERATE,0,1.233
2018-04-05,37.9,30.6125,33.75,36.12601675418447,28.42772935466462,31.50704431447256,50,25,50,42.5,MODERATE,0,1.208
2018-04-06,37.7,30.125,37.333333333333336,37.54075361836448,29.30711080023917,32.600567927489294,50,25,50,42.5,MODERATE,0,1.203
2018-04-07,37.8,30.14583333333333,39.208333333333336,36.61958467255111,29.601189693804063,32.40854768530288,50,25,50,42.5,MODERATE,0,1.205
2018-04-08,37.7,30.012500000000003,41.29166666666666,37.34865807129558,30.56629908948098,33.27924268220682,50,25,50,42.5,MODERATE,0,1.203
2018-04-09,38.4,30.07083333333333,42.458333333333336,37.30808019103112,30.29953475228395,33.102952927782816,50,25,50,42.5,MODERATE,0,1.219
2018-04-10,38.7,30.3125,41.54166666666666,37.83784181215117,30.04788403615393,33.163867146552825,50,25,50,42.5,MODERATE,0,1.226
2018-04-11,38.8,31.0625,42.16666666666666,38.30292895761558,30.818934011358056,33.812531989861064,50,50,50,50.0,HIGH,0,1.229
2018-04-12,37.7,31.44583333333333,43.16666666666666,37.42641083895121,30.44982366839947,33.24045853662017,50,25,50,42.5,MODERATE,0,1.203
2018-04-13,38.3,31.679166666666664,41.04166666666666,38.277874661111184,31.02669942571567,33.92716951987387,50,50,75,60.0,HIGH,0,1.217
2018-04-14,39.5,32.24166666666667,35.458333333333336,38.67545768775785,31.099989267691345,34.130176635717945,50,50,75,60.0,HIGH,0,1.245
2018-04-15,39.4,32.891666666666666,30.83333333333333,38.004962627484495,29.67320544809097,33.00590831984839,50,50,50,50.0,HIGH,0,1.243
2018-04-16,39.6,32.59166666666667,33.791666666666664,38.6748739526111,30.04315066811856,33.49583998191557,50,50,50,50.0,HIGH,0,1.247
2018-04-17,39.8,32.520833333333336,29.83333333333333,37.77555870721781,28.69180433699595,32.32530608508469,50,25,50,42.5,MODERATE,0,1.252
2018-04-18,40.3,32.875,27.45833333333333,38.38118329681559,29.62401978752256,33.12688519123977,75,50,50,57.5,HIGH,0,1.264
2018-04-19,40.8,33.666666666666664,25.375,39.005072790915584,29.679800355985805,33.40990932995771,75,50,50,57.5,HIGH,0,1.276
2018-04-20,38.8,32.425000000000004,35.791666666666664,38.24754846723561,29.41716753991928,32.94931991084581,50,50,50,50.0,HIGH,0,1.229
2018-04-21,36.8,30.46666666666667,36.458333333333336,34.3109368188178,26.950638142847623,29.894757613235694,50,25,25,32.5,MODERATE,0,1.183
2018-04-22,38.2,30.65,23.166666666666668,35.3943004661312,27.69000432202631,30.771722779668263,50,25,25,32.5,MODERATE,0,1.215
2018-04-23,39.2,31.016666666666666,18.125,36.08099038572448,27.0262617063916,30.648153178124755,50,25,25,32.5,MODERATE,0,1.238
2018-04-24,39.5,30.854166666666668,18.20833333333333,36.22931637127781,27.21638219424119,30.821555865055835,50,25,25,32.5,MODERATE,0,1.245
